Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
ENTRY,2527,2025-05-20 13:53:00+05:30,1145.75,,,,,,
EXIT,2527,2025-05-20 13:53:00+05:30,1145.75,2538,2025-05-20 14:04:00+05:30,1126,-19.75,-26.9,99973.1
ENTRY,2599,2025-05-20 15:05:00+05:30,1072.85,,,,,,
EXIT,2599,2025-05-20 15:05:00+05:30,1072.85,2627,2025-05-21 09:18:00+05:30,1063,-9.85,-36.75,99963.2
ENTRY,2639,2025-05-21 09:30:00+05:30,1084,,,,,,
EXIT,2639,2025-05-21 09:30:00+05:30,1084,2723,2025-05-21 10:54:00+05:30,1258,174,137.25,100137
ENTRY,2750,2025-05-21 11:21:00+05:30,1230,,,,,,
EXIT,2750,2025-05-21 11:21:00+05:30,1230,2752,2025-05-21 11:23:00+05:30,1212.3,-17.7,119.55,100120
ENTRY,2820,2025-05-21 12:31:00+05:30,1114.3,,,,,,
EXIT,2820,2025-05-21 12:31:00+05:30,1114.3,2843,2025-05-21 12:54:00+05:30,1100,-14.3,105.25,100105
ENTRY,2855,2025-05-21 13:06:00+05:30,1150.25,,,,,,
EXIT,2855,2025-05-21 13:06:00+05:30,1150.25,2881,2025-05-21 13:32:00+05:30,1118.8,-31.45,73.8,100074
ENTRY,2925,2025-05-21 14:16:00+05:30,1129.1,,,,,,
EXIT,2925,2025-05-21 14:16:00+05:30,1129.1,2952,2025-05-21 14:43:00+05:30,1115,-14.1,59.7,100060
ENTRY,2969,2025-05-21 15:00:00+05:30,1138.7,,,,,,
EXIT,2969,2025-05-21 15:00:00+05:30,1138.7,2978,2025-05-21 15:09:00+05:30,1131.6,-7.1,52.6,100053
ENTRY,3038,2025-05-22 09:54:00+05:30,965,,,,,,
EXIT,3038,2025-05-22 09:54:00+05:30,965,3040,2025-05-22 09:56:00+05:30,965.4,0.4,53,100053
ENTRY,3041,2025-05-22 09:57:00+05:30,967.75,,,,,,
EXIT,3041,2025-05-22 09:57:00+05:30,967.75,3059,2025-05-22 10:15:00+05:30,971,3.25,56.25,100056
ENTRY,3066,2025-05-22 10:22:00+05:30,975.95,,,,,,
EXIT,3066,2025-05-22 10:22:00+05:30,975.95,3074,2025-05-22 10:30:00+05:30,955.95,-20,36.25,100036
ENTRY,3086,2025-05-22 10:42:00+05:30,973.15,,,,,,
EXIT,3086,2025-05-22 10:42:00+05:30,973.15,3100,2025-05-22 10:56:00+05:30,968.95,-4.2,32.05,100032
ENTRY,3124,2025-05-22 11:20:00+05:30,965,,,,,,
EXIT,3124,2025-05-22 11:20:00+05:30,965,3126,2025-05-22 11:22:00+05:30,960.55,-4.45,27.6,100028
ENTRY,3159,2025-05-22 11:55:00+05:30,964.15,,,,,,
EXIT,3159,2025-05-22 11:55:00+05:30,964.15,3176,2025-05-22 12:12:00+05:30,950,-14.15,13.45,100013
ENTRY,3236,2025-05-22 13:12:00+05:30,926,,,,,,
EXIT,3236,2025-05-22 13:12:00+05:30,926,3259,2025-05-22 13:35:00+05:30,923.05,-2.95,10.5,100010
